,all,all2022,all_fixed2022,autumn,autumn2022,autumn_fixed2022,lat,lon,spring,spring2022,spring_fixed2022,summer,summer2022,summer_fixed2022,spring_res,autumn_res,summer_res,all_res
38,48.99865197,38.79,51.87808901,261.9180559,253,266.4508552,35.76541,-82.264946,141.9081615,107,139.198919,0.479712177,0.3343,0.504563943,2.7092425,-4.532799275,-0.024851766,-2.87943704
41,60.4792175,62.91,63.54282459,261.9180559,262,266.7487483,35.972347,-81.933075,135.1143348,128,126.0255923,0.483923402,0.4322,0.508775168,9.0887425,-4.830692414,-0.024851766,-3.06360709
49,59.80974514,68.2,62.97508827,261.9615523,269,266.7922447,37.9214,-83.0662,145.7129937,125,138.9841892,0.480117415,0.5121,0.505578899,6.7288045,-4.830692414,-0.025461484,-3.16534313
12,48.45839652,60.34,51.99733658,268.1137301,300,271.2524958,33.582043,-82.13125,141.450664,108,137.9713433,0.497999329,0.4941,0.52358364,3.4793207,-3.138765685,-0.025584311,-3.53894006
22,50.43471811,48.07,54.04076616,268.1137301,278,271.922086,34.474525,-85.408844,143.7767786,106,137.6614492,0.500423436,0.5086,0.526025523,6.1153294,-3.808355868,-0.025602087,-3.60604805
115,41.85906044,22.11,45.88953865,285.9733358,282,291.4738174,46.825424,-100.76821,93.73443683,133,86.18778779,0.50942761,0.2579,0.53540461,7.54664904,-5.500481644,-0.025977,-4.03047821
56,46.06344247,70.44,50.1256267,266.4113125,275,270.2196684,38.62901,-82.45886,145.185294,114,138.3291742,0.42311414,0.1672,0.44919791,6.8561198,-3.808355868,-0.02608377,-4.06218423
114,55.04454075,57.96,59.76049393,262.4905489,272,267.3498973,44.735977,-68.67075,114.4511201,137,113.5359551,0.487446838,0.5217,0.51367121,0.915165,-4.859348404,-0.026224372,-4.71595318
29,61.36956114,76.01,66.52145556,263.6639699,264,268.1967692,35.2578,-83.7955,141.8638299,136,138.7609175,0.50942761,0.1909,0.536912188,3.1029124,-4.532799275,-0.027484578,-5.15189442
73,45.28092521,57.4,48.10302268,275.0934441,279,277.1191069,39.866833,-88.92559,94.08942174,135,95.49861849,0.536640379,0.499,0.564578297,-1.40919675,-2.025662793,-0.027937918,-2.82209747
33,63.09281641,81.64,66.10064483,263.6639699,279,268.1967692,35.379166,-82.7925,141.8638299,135,138.3185772,0.531673633,0.5184,0.559611551,3.5452527,-4.532799275,-0.027937918,-3.00782842
84,44.66565153,34.79,48.39943888,281.8826645,303,289.5400844,41.247486,-95.973145,91.8182091,123,92.96578326,0.529070217,0.5785,0.557008135,-1.14757416,-7.657419873,-0.027937918,-3.73378735
79,45.40269735,45.48,49.46706479,278.7518654,276,280.7775282,40.745502,-89.58587,94.17892811,122,91.63259469,0.511948444,0.4484,0.540026964,2.54633342,-2.025662793,-0.02807852,-4.06436744
80,40.74690811,24.84,45.55461884,279.7841763,255,283.0327253,40.82812,-81.3785,93.30564197,97,94.65098153,0.415619753,0.3571,0.443705883,-1.34533956,-3.248549039,-0.02808613,-4.80771073
76,60.11094262,56.02,65.11007441,264.5820613,277,272.4206292,39.9878,-79.2515,111.2562081,136,110.4060554,0.418764452,0.3938,0.446850583,0.8501527,-7.838567992,-0.028086131,-4.99913179
106,44.79459958,35.71,50.25507428,279.2041922,288,281.8653008,42.04915,-88.273026,93.48246373,122,91.11524141,0.576146335,0.3047,0.604986223,2.36722232,-2.661108616,-0.028839888,-5.4604747
71,60.33689986,65.08,65.91983888,265.4472941,258,272.3291429,39.70595,-79.012,111.2562081,144,114.8295385,0.499756947,0.3426,0.529028451,-3.5733304,-6.881848756,-0.029271504,-5.58293902
