Unnamed: 0,lat,lon,r_spring,p_spring,r_autumn,p_autumn,r_summer,p_summer,r_all,p_all
91,22.9539,112.0539,-0.64510974,0.036908219,0.026836603,0.065527549,-0.669724324,,0.981499095,
92,22.9539,112.0539,-0.64510974,0.036908219,0.026836603,0.065527549,-0.669724324,,0.981499095,
93,23.0822,114.4053,0.971699098,0.010121237,0.955044631,0.012774244,0.73054165,,-0.670015773,
94,23.0822,114.4053,0.971699098,0.010121237,0.955044631,0.012774244,0.73054165,,-0.670015773,
95,23.0822,114.4053,0.971699098,0.010121237,0.955044631,0.012774244,0.73054165,,-0.670015773,
96,23.0822,114.4053,0.971699098,0.010121237,0.955044631,0.012774244,0.73054165,,-0.670015773,
97,23.0822,114.4053,0.971699098,0.010121237,0.955044631,0.012774244,0.73054165,,-0.670015773,
98,23.0822,114.4053,0.971699098,0.010121237,0.955044631,0.012774244,0.73054165,,-0.670015773,
99,23.1322,113.3221,0.887013871,0.020370091,-0.840609557,0.024292931,0.746461458,,0.981750884,
100,23.1322,113.3221,0.887013871,0.020370091,-0.840609557,0.024292931,0.746461458,,0.981750884,
101,23.1322,113.3221,0.887013871,0.020370091,-0.840609557,0.024292931,0.746461458,,0.981750884,
102,23.1322,113.3221,0.887013871,0.020370091,-0.840609557,0.024292931,0.746461458,,0.981750884,
103,23.1322,113.3221,0.887013871,0.020370091,-0.840609557,0.024292931,0.746461458,,0.981750884,
104,23.1322,113.3221,0.887013871,0.020370091,-0.840609557,0.024292931,0.746461458,,0.981750884,
105,23.1522,112.5544,0.184173021,0.058805243,0.365365837,0.050792519,0.736037854,,0.949497706,
106,23.1522,112.5544,0.184173021,0.058805243,0.365365837,0.050792519,0.736037854,,0.949497706,
107,23.1522,112.5544,0.184173021,0.058805243,0.365365837,0.050792519,0.736037854,,0.949497706,
108,23.1522,112.5544,0.184173021,0.058805243,0.365365837,0.050792519,0.736037854,,0.949497706,
109,23.1522,112.5544,0.184173021,0.058805243,0.365365837,0.050792519,0.736037854,,0.949497706,
110,23.1522,112.5544,0.184173021,0.058805243,0.365365837,0.050792519,0.736037854,,0.949497706,
111,23.185,112.867,0.694031336,0.034111054,-2.30E-06,0.066666569,-0.452134207,,0.430550388,
112,23.185,112.867,0.694031336,0.034111054,-2.30E-06,0.066666569,-0.452134207,,0.430550388,
113,23.185,112.867,0.694031336,0.034111054,-2.30E-06,0.066666569,-0.452134207,,0.430550388,
114,23.185,112.867,0.694031336,0.034111054,-2.30E-06,0.066666569,-0.452134207,,0.430550388,
115,23.185,112.867,0.694031336,0.034111054,-2.30E-06,0.066666569,-0.452134207,,0.430550388,
116,23.185,112.867,0.694031336,0.034111054,-2.30E-06,0.066666569,-0.452134207,,0.430550388,
117,23.3667,116.6794,0.328321196,0.052468955,-0.45245491,0.046739779,0.984165318,,0.998533153,
118,23.3667,116.6794,0.328321196,0.052468955,-0.45245491,0.046739779,0.984165318,,0.998533153,
119,23.3667,116.6794,0.328321196,0.052468955,-0.45245491,0.046739779,0.984165318,,0.998533153,
120,23.3667,116.6794,0.328321196,0.052468955,-0.45245491,0.046739779,0.984165318,,0.998533153,
121,23.3667,116.6794,0.328321196,0.052468955,-0.45245491,0.046739779,0.984165318,,0.998533153,
122,23.3667,116.6794,0.328321196,0.052468955,-0.45245491,0.046739779,0.984165318,,0.998533153,
123,23.3892,104.2319,0.714707763,0.032874626,-0.680748934,0.034887263,-0.623266932,,-0.816765545,
124,23.3892,104.2319,0.714707763,0.032874626,-0.680748934,0.034887263,-0.623266932,,-0.816765545,
125,23.3892,104.2319,0.714707763,0.032874626,-0.680748934,0.034887263,-0.623266932,,-0.816765545,
126,23.3892,104.2319,0.714707763,0.032874626,-0.680748934,0.034887263,-0.623266932,,-0.816765545,
127,23.3892,104.2319,0.714707763,0.032874626,-0.680748934,0.034887263,-0.623266932,,-0.816765545,
128,23.3892,104.2319,0.714707763,0.032874626,-0.680748934,0.034887263,-0.623266932,,-0.816765545,
129,23.4189,111.247,-0.871473665,0.021755301,0.912150306,0.0179228,0.5144354,,-0.424220824,
130,23.4189,111.247,-0.871473665,0.021755301,0.912150306,0.0179228,0.5144354,,-0.424220824,
131,23.4189,111.247,-0.871473665,0.021755301,0.912150306,0.0179228,0.5144354,,-0.424220824,
132,23.4189,111.247,-0.871473665,0.021755301,0.912150306,0.0179228,0.5144354,,-0.424220824,
133,23.4189,111.247,-0.871473665,0.021755301,0.912150306,0.0179228,0.5144354,,-0.424220824,
134,23.4189,111.247,-0.871473665,0.021755301,0.912150306,0.0179228,0.5144354,,-0.424220824,
135,23.4714,116.7519,-0.575475725,0.040642256,0.295761228,0.053923563,-0.947709451,,0.754837478,
136,23.4714,116.7519,-0.575475725,0.040642256,0.295761228,0.053923563,-0.947709451,,0.754837478,
137,23.4714,116.7519,-0.575475725,0.040642256,0.295761228,0.053923563,-0.947709451,,0.754837478,
138,23.4714,116.7519,-0.575475725,0.040642256,0.295761228,0.053923563,-0.947709451,,0.754837478,
139,23.4714,116.7519,-0.575475725,0.040642256,0.295761228,0.053923563,-0.947709451,,0.754837478,
140,23.4714,116.7519,-0.575475725,0.040642256,0.295761228,0.053923563,-0.947709451,,0.754837478,
141,23.4835,111.2711,-0.039396362,0.064040243,-0.163559248,0.055762717,-0.713744534,0.032933035,-0.022329343,0.065718901
142,23.4835,111.2711,-0.039396362,0.064040243,-0.163559248,0.055762717,-0.713744534,0.032933035,-0.022329343,0.065718901
143,23.4835,111.2711,-0.039396362,0.064040243,-0.163559248,0.055762717,-0.713744534,0.032933035,-0.022329343,0.065718901
144,23.4835,111.2711,-0.039396362,0.064040243,-0.163559248,0.055762717,-0.713744534,0.032933035,-0.022329343,0.065718901
145,23.4835,111.2711,-0.039396362,0.064040243,-0.163559248,0.055762717,-0.713744534,0.032933035,-0.022329343,0.065718901
146,23.4835,111.2711,-0.039396362,0.064040243,-0.163559248,0.055762717,-0.713744534,0.032933035,-0.022329343,0.065718901
147,23.4835,111.2711,-0.039396362,0.064040243,-0.163559248,0.055762717,-0.713744534,0.032933035,-0.022329343,0.065718901
148,23.691,113.0426,0.533095309,0.042803828,-0.823487334,0.025603386,0.795409674,,-0.338661763,
149,23.691,113.0426,0.533095309,0.042803828,-0.823487334,0.025603386,0.795409674,,-0.338661763,
150,23.691,113.0426,0.533095309,0.042803828,-0.823487334,0.025603386,0.795409674,,-0.338661763,
151,23.691,113.0426,0.533095309,0.042803828,-0.823487334,0.025603386,0.795409674,,-0.338661763,
152,23.691,113.0426,0.533095309,0.042803828,-0.823487334,0.025603386,0.795409674,,-0.338661763,
153,23.691,113.0426,0.533095309,0.042803828,-0.823487334,0.025603386,0.795409674,,-0.338661763,
154,23.7106,113.0208,0.1108831,0.061950945,-0.987231987,0.006789358,0.998698126,,0.50811658,
155,23.7106,113.0208,0.1108831,0.061950945,-0.987231987,0.006789358,0.998698126,,0.50811658,
156,23.7106,113.0208,0.1108831,0.061950945,-0.987231987,0.006789358,0.998698126,,0.50811658,
157,23.7106,113.0208,0.1108831,0.061950945,-0.987231987,0.006789358,0.998698126,,0.50811658,
158,23.7106,113.0208,0.1108831,0.061950945,-0.987231987,0.006789358,0.998698126,,0.50811658,
159,23.7106,113.0208,0.1108831,0.061950945,-0.987231987,0.006789358,0.998698126,,0.50811658,
160,23.7233,114.6892,-0.22970901,0.051352733,0.680619713,0.021292019,-0.751079787,0.030604445,-0.852594825,0.023337016
161,23.7233,114.6892,-0.22970901,0.051352733,0.680619713,0.021292019,-0.751079787,0.030604445,-0.852594825,0.023337016
162,23.7233,114.6892,-0.22970901,0.051352733,0.680619713,0.021292019,-0.751079787,0.030604445,-0.852594825,0.023337016
163,23.7233,114.6892,-0.22970901,0.051352733,0.680619713,0.021292019,-0.751079787,0.030604445,-0.852594825,0.023337016
164,23.7233,114.6892,-0.22970901,0.051352733,0.680619713,0.021292019,-0.751079787,0.030604445,-0.852594825,0.023337016
165,23.7233,114.6892,-0.22970901,0.051352733,0.680619713,0.021292019,-0.751079787,0.030604445,-0.852594825,0.023337016
166,23.7233,114.6892,-0.22970901,0.051352733,0.680619713,0.021292019,-0.751079787,0.030604445,-0.852594825,0.023337016
167,23.7256,109.2203,-0.726039562,0.032181188,0.876676918,0.021300693,0.865593939,,-0.743664092,
168,23.7256,109.2203,-0.726039562,0.032181188,0.876676918,0.021300693,0.865593939,,-0.743664092,
169,23.7256,109.2203,-0.726039562,0.032181188,0.876676918,0.021300693,0.865593939,,-0.743664092,
170,23.7256,109.2203,-0.726039562,0.032181188,0.876676918,0.021300693,0.865593939,,-0.743664092,
171,23.7256,109.2203,-0.726039562,0.032181188,0.876676918,0.021300693,0.865593939,,-0.743664092,
172,23.7256,109.2203,-0.726039562,0.032181188,0.876676918,0.021300693,0.865593939,,-0.743664092,
173,23.7361,109.2328,-0.629331233,0.024711251,-0.393964628,0.040402358,0.175589703,0.059175573,0.339838214,0.051950357
174,23.7361,109.2328,-0.629331233,0.024711251,-0.393964628,0.040402358,0.175589703,0.059175573,0.339838214,0.051950357
175,23.7361,109.2328,-0.629331233,0.024711251,-0.393964628,0.040402358,0.175589703,0.059175573,0.339838214,0.051950357
176,23.7361,109.2328,-0.629331233,0.024711251,-0.393964628,0.040402358,0.175589703,0.059175573,0.339838214,0.051950357
177,23.7361,109.2328,-0.629331233,0.024711251,-0.393964628,0.040402358,0.175589703,0.059175573,0.339838214,0.051950357
178,23.7361,109.2328,-0.629331233,0.024711251,-0.393964628,0.040402358,0.175589703,0.059175573,0.339838214,0.051950357
179,23.7361,109.2328,-0.629331233,0.024711251,-0.393964628,0.040402358,0.175589703,0.059175573,0.339838214,0.051950357
180,24.3284,116.1231,0.757577863,0.030184348,-0.032159442,0.065301542,-0.965499551,,-0.387210656,
181,24.3284,116.1231,0.757577863,0.030184348,-0.032159442,0.065301542,-0.965499551,,-0.387210656,
182,24.3284,116.1231,0.757577863,0.030184348,-0.032159442,0.065301542,-0.965499551,,-0.387210656,
183,24.3284,116.1231,0.757577863,0.030184348,-0.032159442,0.065301542,-0.965499551,,-0.387210656,
