Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,lat,lon,r_spring,p_spring,r_autumn,p_autumn,r_summer,p_summer,r_all,p_all
14,14,14,39.2133,117.1837,-0.1139472124067693,0.0570154982886999,-0.7952803023563934,0.0071808285103645,0.1684385309604203,0.0521040979359719,-0.5059675784414986,0.0342688281039
15,15,15,39.0877,117.307,0.0659497401761189,0.0610727394594556,-0.3172564971819179,0.0401959281960504,-0.5279443258324259,0.0348037116111716,-0.3105406819324815,0.0472972878711679
16,16,16,38.8394,117.457,-0.5167379427228981,0.0248433676122058,-0.5135527865949429,0.0250750975640016,-0.993888035699284,0.0037407976200477,0.0746106733942364,0.0603592884403842
17,17,17,38.0444,114.4422,-0.5516293239803929,0.0223399118502701,-0.2730919042355724,0.0437773520221366,-0.5155096221205114,0.0356326918586325,0.7067397208820895,0.018217351941194
18,18,18,38.0266,114.6063,-0.2499874643146503,0.045670206440296,0.5547686274371044,0.0221179274707679,-0.51699467452379,0.0355336883650806,-0.4284877330290168,0.0394341511313988
19,19,19,38.1328,114.4898,0.2142627572132105,0.048619611161252,-0.3816576077780104,0.0350751930729954,-0.5100125587039065,0.0359991627530729,0.4977824278244775,0.0321478381450348
20,20,20,38.0058,114.4586,-0.9574273704286284,0.0006984661473026,-0.1140581008510538,0.0570061471505527,-0.6525952968708343,0.0264936468752777,0.4277718338552236,0.0368152110763184
21,21,21,38.0178,114.5331,0.2720344294829233,0.0438637147121896,-0.8542371404783788,0.0043549371057222,-0.5210200082159644,0.0352653327856023,-0.822064673768547,0.0131956884154302
22,22,22,38.0457,114.509,0.1381765368868419,0.05497530804507,-0.5216199223887682,0.024489198872419,0.5442199719257919,0.0270520018716138,-0.1225373565981799,0.0598308428934546
23,23,23,39.6363,118.131,0.7462929381038134,0.0098283645003586,-0.4641119484475056,0.0287355338941962,-0.0655448678422271,0.0656303421438515,0.3176627229062159,0.0441558184729189
24,24,24,39.6334,118.1725,0.0492064558947316,0.0624915790991003,-0.0681504272832677,0.0608863597469862,-0.8960888813930517,0.0102607412404632,-0.1846483715876508,0.0556901085608232
25,25,25,39.6506,118.1705,0.4164451943271543,0.0323678226877417,-0.8509368341573693,0.0045013325909812,-0.4437572821593373,0.0404161811893775,-0.8781021407599069,0.0094598572826728
26,26,26,39.622,118.1869,-0.3833050216618868,0.0349459890011195,-0.3356334093376477,0.0387215296092392,0.512815967411122,0.0291456021725918,-0.3575501283588904,0.0441633247760739
27,27,27,39.8207,119.5134,-0.5747637685709923,0.0207173286052687,-0.6033023112212428,0.0187598996743446,0.0647941811166447,0.0590137212588903,-0.4922750178388512,0.0351816654774099
28,28,28,39.9041,119.5251,-0.3642918745299784,0.036442853918061,-0.8574276065890303,0.0042148579002971,-0.9691715258154217,0.0053885649456385,-0.8933840622308478,0.0084410625179434
29,29,29,36.61763,114.5129,-0.838043536438987,0.0244932630204684,-0.7935054801831396,0.027767169238572,-0.6314455785330247,,-0.61097849279547,
30,30,30,36.6116,114.5302,-0.2074654369055954,0.0491836113922617,-0.5407722629346372,0.0231118662000609,0.2325429610952299,0.047830469260318,-0.6029606094250946,0.027802626038327
31,31,31,36.5713,114.4918,0.702859555468814,0.012368359905715,-0.2310660708785703,0.0472291269925663,-0.6366553061272027,0.0275563129248531,0.640842099606895,0.0226105266928736
32,32,32,36.6133,114.484,-0.553095740787893,0.0222361504079793,-0.7549937021704232,0.009340411040586,-0.964665469246158,0.0056889687169227,-0.7670695152329478,0.0168620323178034
33,33,33,38.8632,115.493,0.9625645259592216,0.000576386460254,0.3077893215686717,0.0409592714331214,-0.59267322725016,0.030488451516656,0.1177894241456585,0.057480705056956
34,34,34,38.9108,115.4713,-0.2694607905277806,0.0440740126058705,0.9501234416294492,0.000884730932112,-0.6963899307384638,0.0235740046174357,-0.8248061316760532,0.0130129245549297
35,35,35,38.8416,115.4612,-0.7273964788882156,0.0109126780995883,-0.0008319681615098,0.0665960470239338,0.7617639523133168,0.0125490698457788,0.7452640851501792,0.015649060989988
36,36,36,38.8697,115.4323,0.4592084704932129,0.0291047442184592,0.3535699405524941,0.0372923088746518,0.1688026468633233,0.0520798235424451,0.3896136562010037,0.0393590895865997
37,37,37,38.8639,115.5086,-0.4212223672264942,0.0319996045701959,0.8682022012434369,0.0037525557210538,-0.275755861456525,0.0516162759028983,0.2277204750258722,0.0501519683316085
38,38,38,40.8336,114.8883,-0.7405897755216897,0.0101521285823983,-0.8873543218670172,0.0029739708830333,-0.9280466625732284,0.008130222495118,-0.105072547520003,0.0609951634986664
39,39,39,40.8042,114.8687,-0.1356276571921587,0.0551896265344663,-0.0529368960692681,0.0621753429175485,-0.4693601244197082,0.0387093250386861,-0.3061245277784323,0.0475916981481045
40,40,40,40.762,114.8902,-0.6036842336250057,0.0187340501331364,0.8433342722432315,0.0048442332608244,-0.1711350646244177,0.0585909956917054,-0.5989496204930755,0.0280700253004616
41,41,41,40.9081,117.9531,0.3831246252750471,0.0349601325525688,-0.6682933798574205,0.0145039845581749,0.0094481950155704,0.0627034536656286,-0.4581131410273007,0.0374591239315132
42,42,42,40.9763,117.9392,0.4298668834754225,0.0313355923145753,-0.8322124529430976,0.0053596714178692,0.2334579367217459,0.0477694708852169,0.3019807051744028,0.0452012863217064
43,43,43,40.928,117.9503,-0.1391357055162459,0.054894677724403,-0.9811583444737813,0.0002063906160817,0.6502008701252435,0.019986608658317,-0.5929239461758374,0.0284717369216108
44,44,44,40.9655,117.8051,0.6567033792390666,0.0152408923420508,-0.8139368132305564,0.0062405795116695,0.9463852285280644,0.0002409847647957,0.1634018540473871,0.0544398763968408
45,45,45,41.0026,117.9268,0.0461711135615506,0.0627489337184718,-0.3805215815968565,0.0351643452569897,-0.9004828213201338,0.009967811911991,-0.8172329161921704,0.0135178055871886
46,46,46,39.5111,116.6708,-0.5833082480920332,0.0201260121373987,-0.380362559116316,0.035176828500307,0.9278459029315772,0.0014769398045615,0.4785002614069285,0.0334333159062047
47,47,47,39.5269,116.7244,-0.2235240768144469,0.0478525534616053,0.7836616301525343,0.0077861365913122,0.2137331489174754,0.0490844567388349,0.0699630795944305,0.0606691280270379
48,48,48,38.2991,116.8842,0.560237232278448,0.0217325698972011,-0.5566479715406061,0.0219853031367489,0.5348944199420973,0.0276737053371935,0.4479330647210849,0.0354711290185943
49,49,49,38.3254,116.8584,0.7989126225276186,0.0069946490828884,0.425618431089284,0.0316615564209368,-0.8978849134513572,0.0101410057699095,0.0486101760973406,0.0620926549268439
50,50,50,38.3228,116.8709,0.4987347141611409,0.0261598656009953,0.1589357616783181,0.0532327953164583,-0.3995931080208791,0.0433604594652747,0.3257036691242974,0.0436197553917135
51,51,51,37.7541,115.6838,-0.3755572716374369,0.0355544573307447,-0.7248733664173412,0.0110599299129162,-0.8948946113073613,0.0103403592461759,0.7449116025330925,0.0156725598311271
52,52,52,37.7316,115.6303,0.0345703746385468,0.0637328267274952,-0.0794035464112803,0.0599337735396265,-0.7634997774919333,0.0191000148338711,0.6550130369631528,0.0216657975357898
53,53,53,37.0886,114.4704,0.2377690787145294,0.046676012927719,0.1544630044307181,0.0536077642332704,0.395612185007802,0.0369591876661465,-0.325853049267107,0.0462764633821928
