Unnamed: 0,lat,lon,r_summer,p_summer,r_all,p_all
20114,32.317593,-106.76833,-0.050847456,0.062352461,-0.665125754,0.014704383
17619,34.8147,-106.7396,-0.395714395,0.033975848,0.098763732,0.05829699
17973,34.8147,-106.7396,-0.395714395,0.033975848,0.098763732,0.05829699
18326,34.8147,-106.7396,-0.395714395,0.033975848,0.098763732,0.05829699
18691,34.8147,-106.7396,-0.395714395,0.033975848,0.098763732,0.05829699
19054,34.8147,-106.7396,-0.395714395,0.033975848,0.098763732,0.05829699
19416,34.8147,-106.7396,-0.395714395,0.033975848,0.098763732,0.05829699
19774,34.8147,-106.7396,-0.395714395,0.033975848,0.098763732,0.05829699
20117,34.8147,-106.7396,-0.395714395,0.033975848,0.098763732,0.05829699
20332,34.8147,-106.7396,-0.395714395,0.033975848,0.098763732,0.05829699
17260,35.01708,-106.65739,-0.80548333,0.006661651,-0.362159144,0.036611521
17615,35.01708,-106.65739,-0.80548333,0.006661651,-0.362159144,0.036611521
17969,35.01708,-106.65739,-0.80548333,0.006661651,-0.362159144,0.036611521
18322,35.01708,-106.65739,-0.80548333,0.006661651,-0.362159144,0.036611521
18687,35.01708,-106.65739,-0.80548333,0.006661651,-0.362159144,0.036611521
19050,35.01708,-106.65739,-0.80548333,0.006661651,-0.362159144,0.036611521
19412,35.01708,-106.65739,-0.80548333,0.006661651,-0.362159144,0.036611521
19770,35.01708,-106.65739,-0.80548333,0.006661651,-0.362159144,0.036611521
20113,35.01708,-106.65739,-0.80548333,0.006661651,-0.362159144,0.036611521
17614,35.1343,-106.5852,-0.867578751,,0.610066203,
17968,35.1343,-106.5852,-0.867578751,,0.610066203,
18321,35.1343,-106.5852,-0.867578751,,0.610066203,
19411,35.1343,-106.5852,-0.867578751,,0.610066203,
19769,35.1343,-106.5852,-0.867578751,,0.610066203,
20112,35.1343,-106.5852,-0.867578751,,0.610066203,
17263,35.299484,-106.54891,-0.441170229,0.025411826,-0.537589562,0.018086535
17618,35.299484,-106.54891,-0.441170229,0.025411826,-0.537589562,0.018086535
17972,35.299484,-106.54891,-0.441170229,0.025411826,-0.537589562,0.018086535
18325,35.299484,-106.54891,-0.441170229,0.025411826,-0.537589562,0.018086535
18690,35.299484,-106.54891,-0.441170229,0.025411826,-0.537589562,0.018086535
19053,35.299484,-106.54891,-0.441170229,0.025411826,-0.537589562,0.018086535
19415,35.299484,-106.54891,-0.441170229,0.025411826,-0.537589562,0.018086535
